id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.85
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.72,0.55
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.70
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.80,0.30
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,0.90
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.20
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.40,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.65
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.85,0.50
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.08,0.60
11,Velvet Throne,MC Onyx,hip hop,confident,0.85,96,0.72,0.84,0.08,0.02,0.75
12,Ghost Waltz,Pale Ember,classical,melancholy,0.30,68,0.32,0.28,0.95,0.92,0.15
13,Neon Cumbia,Sol Rojo,latin,energetic,0.88,105,0.90,0.92,0.12,0.06,0.55
14,Basement Fury,Iron Drift,metal,aggressive,0.96,170,0.25,0.42,0.04,0.15,0.45
15,Sunday Morning Tea,Willow Haze,folk,peaceful,0.22,82,0.78,0.38,0.94,0.35,0.25
16,Pixel Party,Byte Club,electronic,euphoric,0.89,140,0.86,0.91,0.06,0.70,0.80
17,Blue Smoke,Thelma Roads,r&b,romantic,0.55,88,0.74,0.70,0.45,0.04,0.65
18,Echoes of Kyoto,Sora,world,reflective,0.33,74,0.58,0.35,0.82,0.88,0.20
